ID;extnr;name;gruppe;einheit;inhalt;grundeinheit;mwst;dekp;vk;vkbrutto;vk1;konto_aufwand;konto_erloes;barcode;plu;mindestbestand;bestellmenge;haltbarkeit;text_etikett;kurzname;lieferant;lieferantname;lieferant_extnr;ekmwst;ek;ekbrutto;kassaartikel;produktionsstaette;produktionsdoku;beschreibung;volldeklaration;seriennummer;saisonal;bio;vegetarisch;gewicht;laenge;breite;hoehe;urprodukt;verfuegbar;jn1;jn2;jn3;jn4;shop_name;shop_name2;shop_ca_preis;shop_bestellende;shop_variantenartikel;etikett_extnr;etikett_text1;etikett_text2;etikett_text3;etikett_text4;etikett_text5;etikett_image1;etikett_image2;etikett_image3;lagerstand;lagerstand9
43;;"07 % Gewichts-Artikel";181;;0,000;;7;0;0;0,00;0;0;0;;0;0.000;0.000;0;;;;;;;0;0;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;;"07 % Stück-Artikel";181;;0,000;;7;0;0;0,00;0;0;0;;0;0.000;0.000;0;;;;;;;0;0;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2587;;"100% Hafer Crunchy - kg";139;kg;0,000;kg;7;6,79;8,83;9,45;0;0;0;;0;0.000;0.000;0;;;100701;"Bode Naturkost";40395;7;6,79000;7,27;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;4,34;4,34
1642;29883;"100% Naturreisnudeln 250g Terrasana";187;Stück;250,000;g;7;2,604;3,40187;3,64;0;0;0;8713576282504;0;0.000;0.000;0;;;5;NKW;733106;7;2,62000;2,80;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;6;6
2174;;"100% Schoko Crunchy - kg";139;kg;0,000;kg;7;7,59;9,87;10,56;0;0;0;;0;0.000;0.000;0;;;100701;"Bode Naturkost";21120;7;7,59000;8,12;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;2,904;2,904
974;;"12er Mopro voll";106;Stück;1,000;Stück;7;0;0;0,00;0;0;0;;10355;0.000;0.000;0;;;100652;"köllektiv eG";;7;0,00000;0,00;0;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;;"19 % Gewichts-Artikel";181;;0,000;;19;0;0;0,00;0;0;0;;0;0.000;0.000;0;;;;;;;0;0;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;;"19 % Stück-Artikel";181;;0,000;;19;0;0;0,00;0;0;0;;0;0.000;0.000;0;;;;;;;0;0;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1848;;"24Bottles Clima + INFUSER LID 0,5l";184;Stück;1,000;Stück;19;16,9;28,75;34,21;0;0;0;;0;0.000;0.000;0;;;6;köllektiv-migori;;19;23,00000;27,37;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1025;;"24Bottles Clima 0,5l";184;Stück;1,000;Stück;19;16,9;21,125;25,14;0;0;0;;10406;0.000;0.000;0;;;6;köllektiv-migori;;19;16,90000;20,11;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;4;4
